season,country,quarter,semi,final,won,highest
2024/25,England,2,2,2,1,4
2024/25,Germany,1,0,0,0,1
2024/25,Norway,1,1,0,0,2
2024/25,Italy,1,0,0,0,1
2024/25,Scotland,1,0,0,0,1
2024/25,Spain,1,1,0,0,2
2024/25,France,1,0,0,0,1
2024/25,Portugal,0,0,0,0,0
2024/25,Holland,0,0,0,0,0
2024/25,Belgium,0,0,0,0,0
2024/25,Crotia,0,0,0,0,0
2024/25,Czechia,0,0,0,0,0
2024/25,Denmark,0,0,0,0,0
2024/25,Ukraine,0,0,0,0,0
2024/25,Switzerland,0,0,0,0,0
2024/25,Austria,0,0,0,0,0
2024/25,Russia,0,0,0,0,0
2024/25,Turkiye,0,0,0,0,0
2024/25,Romania,0,0,0,0,0
2024/25,Bulgaria,0,0,0,0,0
2024/25,Greece,0,0,0,0,0
2024/25,Israel,0,0,0,0,0
2024/25,Sweden,0,0,0,0,0
2024/25,Bosnia and Herzegovina,0,0,0,0,0
2024/25,Belarus,0,0,0,0,0
2024/25,Hungary,0,0,0,0,0
2024/25,Serbia,0,0,0,0,0
2024/25,Poland,0,0,0,0,0
2023/24,England,2,0,0,0,1
2023/24,Germany,1,1,1,0,3
2023/24,Norway,0,0,0,0,0
2023/24,Italy,3,2,1,1,4
2023/24,Scotland,0,0,0,0,0
2023/24,Spain,0,0,0,0,0
2023/24,France,1,1,0,0,2
2023/24,Portugal,1,0,0,0,1
2023/24,Holland,0,0,0,0,0
2023/24,Belgium,0,0,0,0,0
2023/24,Crotia,0,0,0,0,0
2023/24,Czechia,0,0,0,0,0
2023/24,Denmark,0,0,0,0,0
2023/24,Ukraine,0,0,0,0,0
2023/24,Switzerland,0,0,0,0,0
2023/24,Austria,0,0,0,0,0
2023/24,Russia,0,0,0,0,0
2023/24,Turkiye,0,0,0,0,0
2023/24,Romania,0,0,0,0,0
2023/24,Bulgaria,0,0,0,0,0
2023/24,Greece,0,0,0,0,0
2023/24,Israel,0,0,0,0,0
2023/24,Sweden,0,0,0,0,0
2023/24,Bosnia and Herzegovina,0,0,0,0,0
2023/24,Belarus,0,0,0,0,0
2023/24,Hungary,0,0,0,0,0
2023/24,Serbia,0,0,0,0,0
2023/24,Poland,0,0,0,0,0
2022/23,England,1,0,0,0,1
2022/23,Germany,1,1,0,0,2
2022/23,Norway,0,0,0,0,0
2022/23,Italy,2,2,1,0,3
2022/23,Scotland,0,0,0,0,0
2022/23,Spain,1,1,1,1,4
2022/23,France,0,0,0,0,0
2022/23,Portugal,1,0,0,0,1
2022/23,Holland,1,0,0,0,1
2022/23,Belgium,1,0,0,0,1
2022/23,Crotia,0,0,0,0,0
2022/23,Czechia,0,0,0,0,0
2022/23,Denmark,0,0,0,0,0
2022/23,Ukraine,0,0,0,0,0
2022/23,Switzerland,0,0,0,0,0
2022/23,Austria,0,0,0,0,0
2022/23,Russia,0,0,0,0,0
2022/23,Turkiye,0,0,0,0,0
2022/23,Romania,0,0,0,0,0
2022/23,Bulgaria,0,0,0,0,0
2022/23,Greece,0,0,0,0,0
2022/23,Israel,0,0,0,0,0
2022/23,Sweden,0,0,0,0,0
2022/23,Bosnia and Herzegovina,0,0,0,0,0
2022/23,Belarus,0,0,0,0,0
2022/23,Hungary,0,0,0,0,0
2022/23,Serbia,0,0,0,0,0
2022/23,Poland,0,0,0,0,0
2021/22,England,1,1,0,0,2
2021/22,Germany,2,2,1,1,4
2021/22,Norway,0,0,0,0,0
2021/22,Italy,1,0,0,0,1
2021/22,Scotland,1,1,1,0,2
2021/22,Spain,1,0,0,0,1
2021/22,France,1,0,0,0,1
2021/22,Portugal,1,0,0,0,1
2021/22,Holland,0,0,0,0,0
2021/22,Belgium,0,0,0,0,0
2021/22,Crotia,0,0,0,0,0
2021/22,Czechia,0,0,0,0,0
2021/22,Denmark,0,0,0,0,0
2021/22,Ukraine,0,0,0,0,0
2021/22,Switzerland,0,0,0,0,0
2021/22,Austria,0,0,0,0,0
2021/22,Russia,0,0,0,0,0
2021/22,Turkiye,0,0,0,0,0
2021/22,Romania,0,0,0,0,0
2021/22,Bulgaria,0,0,0,0,0
2021/22,Greece,0,0,0,0,0
2021/22,Israel,0,0,0,0,0
2021/22,Sweden,0,0,0,0,0
2021/22,Bosnia and Herzegovina,0,0,0,0,0
2021/22,Belarus,0,0,0,0,0
2021/22,Hungary,0,0,0,0,0
2021/22,Serbia,0,0,0,0,0
2021/22,Poland,0,0,0,0,0
2020/21,England,2,2,1,0,3
2020/21,Germany,0,0,0,0,0
2020/21,Norway,0,0,0,0,0
2020/21,Italy,1,1,0,0,2
2020/21,Scotland,0,0,0,0,0
2020/21,Spain,2,1,1,1,4
2020/21,France,0,0,0,0,0
2020/21,Portugal,0,0,0,0,0
2020/21,Holland,1,0,0,0,1
2020/21,Belgium,0,0,0,0,0
2020/21,Crotia,1,0,0,0,1
2020/21,Czechia,1,0,0,0,1
2020/21,Denmark,0,0,0,0,0
2020/21,Ukraine,0,0,0,0,0
2020/21,Switzerland,0,0,0,0,0
2020/21,Austria,0,0,0,0,0
2020/21,Russia,0,0,0,0,0
2020/21,Turkiye,0,0,0,0,0
2020/21,Romania,0,0,0,0,0
2020/21,Bulgaria,0,0,0,0,0
2020/21,Greece,0,0,0,0,0
2020/21,Israel,0,0,0,0,0
2020/21,Sweden,0,0,0,0,0
2020/21,Bosnia and Herzegovina,0,0,0,0,0
2020/21,Belarus,0,0,0,0,0
2020/21,Hungary,0,0,0,0,0
2020/21,Serbia,0,0,0,0,0
2020/21,Poland,0,0,0,0,0
2019/20,England,2,1,0,0,2
2019/20,Germany,1,0,0,0,1
2019/20,Norway,0,0,0,0,0
2019/20,Italy,1,1,1,0,3
2019/20,Scotland,0,0,0,0,0
2019/20,Spain,1,1,1,1,4
2019/20,France,0,0,0,0,0
2019/20,Portugal,0,0,0,0,0
2019/20,Holland,0,0,0,0,0
2019/20,Belgium,0,0,0,0,0
2019/20,Crotia,0,0,0,0,0
2019/20,Czechia,0,0,0,0,0
2019/20,Denmark,1,0,0,0,1
2019/20,Ukraine,1,1,0,0,2
2019/20,Switzerland,1,0,0,0,1
2019/20,Austria,0,0,0,0,0
2019/20,Russia,0,0,0,0,0
2019/20,Turkiye,0,0,0,0,0
2019/20,Romania,0,0,0,0,0
2019/20,Bulgaria,0,0,0,0,0
2019/20,Greece,0,0,0,0,0
2019/20,Israel,0,0,0,0,0
2019/20,Sweden,0,0,0,0,0
2019/20,Bosnia and Herzegovina,0,0,0,0,0
2019/20,Belarus,0,0,0,0,0
2019/20,Hungary,0,0,0,0,0
2019/20,Serbia,0,0,0,0,0
2019/20,Poland,0,0,0,0,0
2018/19,England,2,2,2,1,4
2018/19,Germany,1,1,0,0,2
2018/19,Norway,0,0,0,0,0
2018/19,Italy,1,0,0,0,1
2018/19,Scotland,0,0,0,0,0
2018/19,Spain,2,1,0,0,2
2018/19,France,0,0,0,0,0
2018/19,Portugal,1,0,0,0,1
2018/19,Holland,0,0,0,0,0
2018/19,Belgium,0,0,0,0,0
2018/19,Crotia,0,0,0,0,0
2018/19,Czechia,1,0,0,0,1
2018/19,Denmark,0,0,0,0,0
2018/19,Ukraine,0,0,0,0,0
2018/19,Switzerland,0,0,0,0,0
2018/19,Austria,0,0,0,0,0
2018/19,Russia,0,0,0,0,0
2018/19,Turkiye,0,0,0,0,0
2018/19,Romania,0,0,0,0,0
2018/19,Bulgaria,0,0,0,0,0
2018/19,Greece,0,0,0,0,0
2018/19,Israel,0,0,0,0,0
2018/19,Sweden,0,0,0,0,0
2018/19,Bosnia and Herzegovina,0,0,0,0,0
2018/19,Belarus,0,0,0,0,0
2018/19,Hungary,0,0,0,0,0
2018/19,Serbia,0,0,0,0,0
2018/19,Poland,0,0,0,0,0
2017/18,England,1,1,0,0,2
2017/18,Germany,1,0,0,0,1
2017/18,Norway,0,0,0,0,0
2017/18,Italy,1,0,0,0,1
2017/18,Scotland,0,0,0,0,0
2017/18,Spain,1,1,1,1,4
2017/18,France,1,1,1,0,3
2017/18,Portugal,1,0,0,0,1
2017/18,Holland,0,0,0,0,0
2017/18,Belgium,0,0,0,0,0
2017/18,Crotia,0,0,0,0,0
2017/18,Czechia,0,0,0,0,0
2017/18,Denmark,0,0,0,0,0
2017/18,Ukraine,0,0,0,0,0
2017/18,Switzerland,0,0,0,0,0
2017/18,Austria,1,1,0,0,2
2017/18,Russia,1,0,0,0,1
2017/18,Turkiye,0,0,0,0,0
2017/18,Romania,0,0,0,0,0
2017/18,Bulgaria,0,0,0,0,0
2017/18,Greece,0,0,0,0,0
2017/18,Israel,0,0,0,0,0
2017/18,Sweden,0,0,0,0,0
2017/18,Bosnia and Herzegovina,0,0,0,0,0
2017/18,Belarus,0,0,0,0,0
2017/18,Hungary,0,0,0,0,0
2017/18,Serbia,0,0,0,0,0
2017/18,Poland,0,0,0,0,0
2016/17,England,1,1,1,1,4
2016/17,Germany,1,0,0,0,1
2016/17,Norway,0,0,0,0,0
2016/17,Italy,0,0,0,0,0
2016/17,Scotland,0,0,0,0,0
2016/17,Spain,1,1,0,0,2
2016/17,France,1,1,0,0,2
2016/17,Portugal,0,0,0,0,0
2016/17,Holland,1,1,1,0,3
2016/17,Belgium,2,0,0,0,1
2016/17,Crotia,0,0,0,0,0
2016/17,Czechia,0,0,0,0,0
2016/17,Denmark,0,0,0,0,0
2016/17,Ukraine,0,0,0,0,0
2016/17,Switzerland,0,0,0,0,0
2016/17,Austria,0,0,0,0,0
2016/17,Russia,0,0,0,0,0
2016/17,Turkiye,1,0,0,0,1
2016/17,Romania,0,0,0,0,0
2016/17,Bulgaria,0,0,0,0,0
2016/17,Greece,0,0,0,0,0
2016/17,Israel,0,0,0,0,0
2016/17,Sweden,0,0,0,0,0
2016/17,Bosnia and Herzegovina,0,0,0,0,0
2016/17,Belarus,0,0,0,0,0
2016/17,Hungary,0,0,0,0,0
2016/17,Serbia,0,0,0,0,0
2016/17,Poland,0,0,0,0,0
2015/16,England,1,1,1,0,3
2015/16,Germany,1,0,0,0,1
2015/16,Norway,0,0,0,0,0
2015/16,Italy,0,0,0,0,0
2015/16,Scotland,0,0,0,0,0
2015/16,Spain,3,2,1,1,4
2015/16,France,0,0,0,0,0
2015/16,Portugal,1,0,0,0,1
2015/16,Holland,0,0,0,0,0
2015/16,Belgium,0,0,0,0,0
2015/16,Crotia,0,0,0,0,0
2015/16,Czechia,1,0,0,0,1
2015/16,Denmark,0,0,0,0,0
2015/16,Ukraine,1,1,0,0,2
2015/16,Switzerland,0,0,0,0,0
2015/16,Austria,0,0,0,0,0
2015/16,Russia,0,0,0,0,0
2015/16,Turkiye,0,0,0,0,0
2015/16,Romania,0,0,0,0,0
2015/16,Bulgaria,0,0,0,0,0
2015/16,Greece,0,0,0,0,0
2015/16,Israel,0,0,0,0,0
2015/16,Sweden,0,0,0,0,0
2015/16,Bosnia and Herzegovina,0,0,0,0,0
2015/16,Belarus,0,0,0,0,0
2015/16,Hungary,0,0,0,0,0
2015/16,Serbia,0,0,0,0,0
2015/16,Poland,0,0,0,0,0
2014/15,England,0,0,0,0,0
2014/15,Germany,1,0,0,0,1
2014/15,Norway,0,0,0,0,0
2014/15,Italy,2,2,0,0,2
2014/15,Scotland,0,0,0,0,0
2014/15,Spain,1,1,1,1,4
2014/15,France,0,0,0,0,0
2014/15,Portugal,0,0,0,0,0
2014/15,Holland,0,0,0,0,0
2014/15,Belgium,1,0,0,0,1
2014/15,Crotia,0,0,0,0,0
2014/15,Czechia,0,0,0,0,0
2014/15,Denmark,0,0,0,0,0
2014/15,Ukraine,2,1,1,0,3
2014/15,Switzerland,0,0,0,0,0
2014/15,Austria,0,0,0,0,0
2014/15,Russia,1,0,0,0,1
2014/15,Turkiye,0,0,0,0,0
2014/15,Romania,0,0,0,0,0
2014/15,Bulgaria,0,0,0,0,0
2014/15,Greece,0,0,0,0,0
2014/15,Israel,0,0,0,0,0
2014/15,Sweden,0,0,0,0,0
2014/15,Bosnia and Herzegovina,0,0,0,0,0
2014/15,Belarus,0,0,0,0,0
2014/15,Hungary,0,0,0,0,0
2014/15,Serbia,0,0,0,0,0
2014/15,Poland,0,0,0,0,0
2013/14,England,0,0,0,0,0
2013/14,Germany,0,0,0,0,0
2013/14,Norway,0,0,0,0,0
2013/14,Italy,1,1,0,0,2
2013/14,Scotland,0,0,0,0,0
2013/14,Spain,2,2,1,1,4
2013/14,France,1,0,0,0,1
2013/14,Portugal,2,1,1,0,3
2013/14,Holland,1,0,0,0,1
2013/14,Belgium,0,0,0,0,0
2013/14,Crotia,0,0,0,0,0
2013/14,Czechia,0,0,0,0,0
2013/14,Denmark,0,0,0,0,0
2013/14,Ukraine,0,0,0,0,0
2013/14,Switzerland,1,0,0,0,1
2013/14,Austria,0,0,0,0,0
2013/14,Russia,0,0,0,0,0
2013/14,Turkiye,0,0,0,0,0
2013/14,Romania,0,0,0,0,0
2013/14,Bulgaria,0,0,0,0,0
2013/14,Greece,0,0,0,0,0
2013/14,Israel,0,0,0,0,0
2013/14,Sweden,0,0,0,0,0
2013/14,Bosnia and Herzegovina,0,0,0,0,0
2013/14,Belarus,0,0,0,0,0
2013/14,Hungary,0,0,0,0,0
2013/14,Serbia,0,0,0,0,0
2013/14,Poland,0,0,0,0,0
2012/13,England,3,1,1,1,4
2012/13,Germany,0,0,0,0,0
2012/13,Norway,0,0,0,0,0
2012/13,Italy,1,0,0,0,1
2012/13,Scotland,0,0,0,0,0
2012/13,Spain,0,0,0,0,0
2012/13,France,0,0,0,0,0
2012/13,Portugal,1,1,1,0,3
2012/13,Holland,0,0,0,0,0
2012/13,Belgium,0,0,0,0,0
2012/13,Crotia,0,0,0,0,0
2012/13,Czechia,0,0,0,0,0
2012/13,Denmark,0,0,0,0,0
2012/13,Ukraine,0,0,0,0,0
2012/13,Switzerland,1,1,0,0,2
2012/13,Austria,0,0,0,0,0
2012/13,Russia,1,0,0,0,1
2012/13,Turkiye,1,1,0,0,2
2012/13,Romania,0,0,0,0,0
2012/13,Bulgaria,0,0,0,0,0
2012/13,Greece,0,0,0,0,0
2012/13,Israel,0,0,0,0,0
2012/13,Sweden,0,0,0,0,0
2012/13,Bosnia and Herzegovina,0,0,0,0,0
2012/13,Belarus,0,0,0,0,0
2012/13,Hungary,0,0,0,0,0
2012/13,Serbia,0,0,0,0,0
2012/13,Poland,0,0,0,0,0
2011/12,England,0,0,0,0,0
2011/12,Germany,2,0,0,0,1
2011/12,Norway,0,0,0,0,0
2011/12,Italy,0,0,0,0,0
2011/12,Scotland,0,0,0,0,0
2011/12,Spain,3,3,2,1,4
2011/12,France,0,0,0,0,0
2011/12,Portugal,1,1,0,0,2
2011/12,Holland,1,0,0,0,1
2011/12,Belgium,0,0,0,0,0
2011/12,Crotia,0,0,0,0,0
2011/12,Czechia,0,0,0,0,0
2011/12,Denmark,0,0,0,0,0
2011/12,Ukraine,1,0,0,0,1
2011/12,Switzerland,0,0,0,0,0
2011/12,Austria,0,0,0,0,0
2011/12,Russia,0,0,0,0,0
2011/12,Turkiye,0,0,0,0,0
2011/12,Romania,0,0,0,0,0
2011/12,Bulgaria,0,0,0,0,0
2011/12,Greece,0,0,0,0,0
2011/12,Israel,0,0,0,0,0
2011/12,Sweden,0,0,0,0,0
2011/12,Bosnia and Herzegovina,0,0,0,0,0
2011/12,Belarus,0,0,0,0,0
2011/12,Hungary,0,0,0,0,0
2011/12,Serbia,0,0,0,0,0
2011/12,Poland,0,0,0,0,0
2010/11,England,0,0,0,0,0
2010/11,Germany,0,0,0,0,0
2010/11,Norway,0,0,0,0,0
2010/11,Italy,0,0,0,0,0
2010/11,Scotland,0,0,0,0,0
2010/11,Spain,1,1,0,0,2
2010/11,France,0,0,0,0,0
2010/11,Portugal,3,3,2,1,4
2010/11,Holland,2,0,0,0,1
2010/11,Belgium,0,0,0,0,0
2010/11,Crotia,0,0,0,0,0
2010/11,Czechia,0,0,0,0,0
2010/11,Denmark,0,0,0,0,0
2010/11,Ukraine,1,0,0,0,1
2010/11,Switzerland,0,0,0,0,0
2010/11,Austria,0,0,0,0,0
2010/11,Russia,1,0,0,0,1
2010/11,Turkiye,0,0,0,0,0
2010/11,Romania,0,0,0,0,0
2010/11,Bulgaria,0,0,0,0,0
2010/11,Greece,0,0,0,0,0
2010/11,Israel,0,0,0,0,0
2010/11,Sweden,0,0,0,0,0
2010/11,Bosnia and Herzegovina,0,0,0,0,0
2010/11,Belarus,0,0,0,0,0
2010/11,Hungary,0,0,0,0,0
2010/11,Serbia,0,0,0,0,0
2010/11,Poland,0,0,0,0,0
2009/10,England,2,2,1,0,3
2009/10,Germany,2,1,0,0,2
2009/10,Norway,0,0,0,0,0
2009/10,Italy,0,0,0,0,0
2009/10,Scotland,0,0,0,0,0
2009/10,Spain,2,1,1,1,4
2009/10,France,0,0,0,0,0
2009/10,Portugal,1,0,0,0,1
2009/10,Holland,0,0,0,0,0
2009/10,Belgium,1,0,0,0,1
2009/10,Crotia,0,0,0,0,0
2009/10,Czechia,0,0,0,0,0
2009/10,Denmark,0,0,0,0,0
2009/10,Ukraine,0,0,0,0,0
2009/10,Switzerland,0,0,0,0,0
2009/10,Austria,0,0,0,0,0
2009/10,Russia,0,0,0,0,0
2009/10,Turkiye,0,0,0,0,0
2009/10,Romania,0,0,0,0,0
2009/10,Bulgaria,0,0,0,0,0
2009/10,Greece,0,0,0,0,0
2009/10,Israel,0,0,0,0,0
2009/10,Sweden,0,0,0,0,0
2009/10,Bosnia and Herzegovina,0,0,0,0,0
2009/10,Belarus,0,0,0,0,0
2009/10,Hungary,0,0,0,0,0
2009/10,Serbia,0,0,0,0,0
2009/10,Poland,0,0,0,0,0
2008/09,England,1,0,0,0,1
2008/09,Germany,2,2,1,0,3
2008/09,Norway,0,0,0,0,0
2008/09,Italy,1,0,0,0,1
2008/09,Scotland,0,0,0,0,0
2008/09,Spain,0,0,0,0,0
2008/09,France,2,0,0,0,1
2008/09,Portugal,0,0,0,0,0
2008/09,Holland,0,0,0,0,0
2008/09,Belgium,0,0,0,0,0
2008/09,Crotia,0,0,0,0,0
2008/09,Czechia,0,0,0,0,0
2008/09,Denmark,0,0,0,0,0
2008/09,Ukraine,2,2,1,1,4
2008/09,Switzerland,0,0,0,0,0
2008/09,Austria,0,0,0,0,0
2008/09,Russia,0,0,0,0,0
2008/09,Turkiye,0,0,0,0,0
2008/09,Romania,0,0,0,0,0
2008/09,Bulgaria,0,0,0,0,0
2008/09,Greece,0,0,0,0,0
2008/09,Israel,0,0,0,0,0
2008/09,Sweden,0,0,0,0,0
2008/09,Bosnia and Herzegovina,0,0,0,0,0
2008/09,Belarus,0,0,0,0,0
2008/09,Hungary,0,0,0,0,0
2008/09,Serbia,0,0,0,0,0
2008/09,Poland,0,0,0,0,0
2007/08,England,0,0,0,0,0
2007/08,Germany,2,1,0,0,2
2007/08,Norway,0,0,0,0,0
2007/08,Italy,1,1,0,0,2
2007/08,Scotland,1,1,1,0,3
2007/08,Spain,1,0,0,0,1
2007/08,France,0,0,0,0,0
2007/08,Portugal,1,0,0,0,1
2007/08,Holland,1,0,0,0,1
2007/08,Belgium,0,0,0,0,0
2007/08,Crotia,0,0,0,0,0
2007/08,Czechia,0,0,0,0,0
2007/08,Denmark,0,0,0,0,0
2007/08,Ukraine,0,0,0,0,0
2007/08,Switzerland,0,0,0,0,0
2007/08,Austria,0,0,0,0,0
2007/08,Russia,1,1,1,1,4
2007/08,Turkiye,0,0,0,0,0
2007/08,Romania,0,0,0,0,0
2007/08,Bulgaria,0,0,0,0,0
2007/08,Greece,0,0,0,0,0
2007/08,Israel,0,0,0,0,0
2007/08,Sweden,0,0,0,0,0
2007/08,Bosnia and Herzegovina,0,0,0,0,0
2007/08,Belarus,0,0,0,0,0
2007/08,Hungary,0,0,0,0,0
2007/08,Serbia,0,0,0,0,0
2007/08,Poland,0,0,0,0,0
2006/07,England,1,0,0,0,1
2006/07,Germany,2,1,0,0,2
2006/07,Norway,0,0,0,0,0
2006/07,Italy,0,0,0,0,0
2006/07,Scotland,0,0,0,0,0
2006/07,Spain,3,3,2,1,4
2006/07,France,0,0,0,0,0
2006/07,Portugal,1,0,0,0,1
2006/07,Holland,1,0,0,0,1
2006/07,Belgium,0,0,0,0,0
2006/07,Crotia,0,0,0,0,0
2006/07,Czechia,0,0,0,0,0
2006/07,Denmark,0,0,0,0,0
2006/07,Ukraine,0,0,0,0,0
2006/07,Switzerland,0,0,0,0,0
2006/07,Austria,0,0,0,0,0
2006/07,Russia,0,0,0,0,0
2006/07,Turkiye,0,0,0,0,0
2006/07,Romania,0,0,0,0,0
2006/07,Bulgaria,0,0,0,0,0
2006/07,Greece,0,0,0,0,0
2006/07,Israel,0,0,0,0,0
2006/07,Sweden,0,0,0,0,0
2006/07,Bosnia and Herzegovina,0,0,0,0,0
2006/07,Belarus,0,0,0,0,0
2006/07,Hungary,0,0,0,0,0
2006/07,Serbia,0,0,0,0,0
2006/07,Poland,0,0,0,0,0
2005/06,England,1,1,1,0,3
2005/06,Germany,1,1,0,0,2
2005/06,Norway,0,0,0,0,0
2005/06,Italy,0,0,0,0,0
2005/06,Scotland,0,0,0,0,0
2005/06,Spain,1,1,1,1,4
2005/06,France,0,0,0,0,0
2005/06,Portugal,0,0,0,0,0
2005/06,Holland,0,0,0,0,0
2005/06,Belgium,0,0,0,0,0
2005/06,Crotia,0,0,0,0,0
2005/06,Czechia,0,0,0,0,0
2005/06,Denmark,0,0,0,0,0
2005/06,Ukraine,0,0,0,0,0
2005/06,Switzerland,1,0,0,0,1
2005/06,Austria,0,0,0,0,0
2005/06,Russia,1,0,0,0,1
2005/06,Turkiye,0,0,0,0,0
2005/06,Romania,2,1,0,0,2
2005/06,Bulgaria,1,0,0,0,1
2005/06,Greece,0,0,0,0,0
2005/06,Israel,0,0,0,0,0
2005/06,Sweden,0,0,0,0,0
2005/06,Bosnia and Herzegovina,0,0,0,0,0
2005/06,Belarus,0,0,0,0,0
2005/06,Hungary,0,0,0,0,0
2005/06,Serbia,0,0,0,0,0
2005/06,Poland,0,0,0,0,0
2004/05,England,1,0,0,0,1
2004/05,Germany,0,0,0,0,0
2004/05,Norway,0,0,0,0,0
2004/05,Italy,1,1,0,0,2
2004/05,Scotland,0,0,0,0,0
2004/05,Spain,1,0,0,0,1
2004/05,France,1,0,0,0,1
2004/05,Portugal,1,1,1,0,3
2004/05,Holland,1,1,0,0,2
2004/05,Belgium,0,0,0,0,0
2004/05,Crotia,0,0,0,0,0
2004/05,Czechia,0,0,0,0,0
2004/05,Denmark,0,0,0,0,0
2004/05,Ukraine,0,0,0,0,0
2004/05,Switzerland,0,0,0,0,0
2004/05,Austria,1,0,0,0,1
2004/05,Russia,1,1,1,1,4
2004/05,Turkiye,0,0,0,0,0
2004/05,Romania,0,0,0,0,0
2004/05,Bulgaria,0,0,0,0,0
2004/05,Greece,0,0,0,0,0
2004/05,Israel,0,0,0,0,0
2004/05,Sweden,0,0,0,0,0
2004/05,Bosnia and Herzegovina,0,0,0,0,0
2004/05,Belarus,0,0,0,0,0
2004/05,Hungary,0,0,0,0,0
2004/05,Serbia,0,0,0,0,0
2004/05,Poland,0,0,0,0,0
2003/04,England,1,1,0,0,2
2003/04,Germany,0,0,0,0,0
2003/04,Norway,0,0,0,0,0
2003/04,Italy,1,0,0,0,1
2003/04,Scotland,1,0,0,0,1
2003/04,Spain,2,2,1,1,4
2003/04,France,2,1,1,0,3
2003/04,Portugal,0,0,0,0,0
2003/04,Holland,1,0,0,0,1
2003/04,Belgium,0,0,0,0,0
2003/04,Crotia,0,0,0,0,0
2003/04,Czechia,0,0,0,0,0
2003/04,Denmark,0,0,0,0,0
2003/04,Ukraine,0,0,0,0,0
2003/04,Switzerland,0,0,0,0,0
2003/04,Austria,0,0,0,0,0
2003/04,Russia,0,0,0,0,0
2003/04,Turkiye,0,0,0,0,0
2003/04,Romania,0,0,0,0,0
2003/04,Bulgaria,0,0,0,0,0
2003/04,Greece,0,0,0,0,0
2003/04,Israel,0,0,0,0,0
2003/04,Sweden,0,0,0,0,0
2003/04,Bosnia and Herzegovina,0,0,0,0,0
2003/04,Belarus,0,0,0,0,0
2003/04,Hungary,0,0,0,0,0
2003/04,Serbia,0,0,0,0,0
2003/04,Poland,0,0,0,0,0
2002/03,England,1,0,0,0,1
2002/03,Germany,0,0,0,0,0
2002/03,Norway,0,0,0,0,0
2002/03,Italy,1,1,0,0,2
2002/03,Scotland,1,1,1,0,3
2002/03,Spain,1,0,0,0,1
2002/03,France,0,0,0,0,0
2002/03,Portugal,2,2,1,1,4
